sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	37	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	22	1139_AG	1.0	0.9873794503925836	7185963	7185963	7277813	1.0	0.3283582089552239	22	22	67
gsa	30	1220_AD	1.0	0.9815101738861876	3416367	3416367	3480725	1.0	0.5365853658536586	22	22	41
gsa	28	1036539	1.0	0.9657967924184826	4514846	4514846	4674737	1.0	0.5357142857142857	30	30	56
gsa	25	1036608	1.0	0.9627039803537784	3051452	3051452	3169668	1.0	0.7012987012987013	54	54	77
gsa	57	1049089	1.0	0.9537501172266715	2979791	2979791	3124289	1.0	0.5185185185185185	14	14	27
gsa	65	1030752	1.0	0.9535608617265945	5986190	5986190	6277722	1.0	0.6309523809523809	53	53	84
gsa	34	1030755	1.0	0.9507598911967813	4387697	4387697	4614937	1.0	0.6436781609195402	56	56	87
gsa	66	1049005	1.0	0.9456725723757514	3884665	3884665	4107833	1.0	0.6086956521739131	14	14	23
gsa	51	1030836	1.0	0.9398788961776772	4603321	4603321	4897781	1.0	0.4927536231884058	34	34	69
gsa	42	1035900	1.0	0.9251581477897913	6734327	6734327	7279109	1.0	0.5319148936170213	50	50	94
gsa	50	1036755	1.0	0.9225328819122564	5963009	5963009	6463736	1.0	0.6146788990825688	67	67	109
gsa	48	1036641	1.0	0.9179886607480561	2414939	2414939	2630685	1.0	0.7114093959731543	106	106	149
gsa	33	1036707	0.9974965608780678	0.7215593332582532	2896815	2889563	4004609	0.9935275080906149	0.4039473684210526	309	307	760
gsa	46	1036728	1.0	0.704908681754785	1418683	1418683	2012577	1.0	0.3941176470588235	134	134	340
gsa	14	evo_1286_AP.026	1.0	0.6559983406717912	2106370	2106370	3210938	1.0	0.23529411764705882	4	4	17
gsa	54	evo_1049056.015	0.7142797779302164	0.6538004946462845	3080293	2200191	3365233	0.7142857142857143	0.38461538461538464	14	10	26
gsa	63	evo_1049056.011	1.0	0.6289934068764526	2109898	2109898	3354404	1.0	0.4230769230769231	11	11	26
gsa	19	1030878	1.0	0.568687802841222	1869978	1869978	3288233	1.0	0.2727272727272727	6	6	22
gsa	23	1036554	1.0	0.5654609155105869	1502126	1502126	2656463	1.0	0.24	6	6	25
gsa	72	1048783	1.0	0.5169479251897303	1252860	1252860	2423571	1.0	0.18055555555555555	13	13	72
gsa	35	evo_1286_AP.033	0.881806603561485	0.4684327087047422	1645718	1451205	3098001	0.75	0.17647058823529413	4	3	17
gsa	44	1052947	1.0	0.46197916360746827	2202275	2202275	4767044	1.0	0.2916666666666667	14	14	48
gsa	79	evo_1049056.031	1.0	0.43671720647455436	1474135	1474135	3375491	1.0	0.2	7	7	35
gsa	26	evo_1286_AP.008	1.0	0.41785271225739035	1413986	1413986	3383934	1.0	0.2222222222222222	4	4	18
gsa	17	evo_1286_AP.037	1.0	0.40498532906298673	1248556	1248556	3082966	1.0	0.11764705882352941	2	2	17
gsa	77	1049056	0.9969295037738197	0.40276575951103405	1318028	1313981	3262395	0.8571428571428571	0.17647058823529413	7	6	34
gsa	53	1286_AP	1.0	0.4021730909824287	1196475	1196475	2975025	1.0	0.1111111111111111	2	2	18
gsa	13	evo_1035930.011	1.0	0.3733183896170068	844046	844046	2260928	1.0	0.25	14	14	56
gsa	39	1053058	0.7072128607256557	0.3711385938089547	2723330	1925974	5189366	0.7	0.14583333333333334	20	14	96
gsa	5	evo_1049056.011	1.0	0.31760873168527104	1065388	1065388	3354404	1.0	0.19230769230769232	5	5	26
gsa	21	evo_1035930.032	1.0	0.30045959811419665	689504	689504	2294831	1.0	0.15517241379310345	9	9	58
gsa	40	1048783	1.0	0.2996557559072955	726237	726237	2423571	1.0	0.1527777777777778	11	11	72
gsa	1	1052944	0.9543667239618211	0.2980501312222637	1620265	1546327	5188144	0.9166666666666666	0.11827956989247312	12	11	93
gsa	76	evo_1286_AP.008	1.0	0.28869416483891236	976922	976922	3383934	1.0	0.05555555555555555	1	1	18
gsa	20	evo_1049056.013	0.8190323622852835	0.2769366098012965	1188544	973456	3515086	0.8	0.15384615384615385	5	4	26
gsa	81	1030878	1.0	0.2649286105942006	871147	871147	3288233	1.0	0.18181818181818182	4	4	22
gsa	9	1286_AP	1.0	0.2474248115562054	736095	736095	2975025	1.0	0.1111111111111111	2	2	18
gsa	7	evo_1049056.013	1.0	0.24067064077521858	845978	845978	3515086	1.0	0.15384615384615385	4	4	26
gsa	58	1036554	1.0	0.23574918980614448	626259	626259	2656463	1.0	0.12	3	3	25
gsa	16	1365_A	1.0	0.22444685277170787	1574808	1574808	7016396	1.0	0.08891976380687738	256	256	2879
gsa	67	evo_1286_AP.033	1.0	0.21462936906734376	664922	664922	3098001	1.0	0.17647058823529413	3	3	17
gsa	55	evo_1035930.029	0.769490458272745	0.2128011342672244	667070	513304	2412130	0.75	0.2542372881355932	20	15	59
gsa	8	evo_1286_AP.037	1.0	0.21210289052814724	653906	653906	3082966	1.0	0.058823529411764705	1	1	17
gsa	29	evo_1035930.011	1.0	0.20852189897245732	471453	471453	2260928	1.0	0.16071428571428573	9	9	56
gsa	3	evo_1049056.015	0.47550554290467295	0.20724954260225073	1466740	697443	3365233	0.375	0.11538461538461539	8	3	26
gsa	38	evo_1286_AP.033	1.0	0.20231594502390413	626775	626775	3098001	1.0	0.058823529411764705	1	1	17
gsa	78	1049056	1.0	0.19566422827401342	638334	638334	3262395	1.0	0.058823529411764705	2	2	34
gsa	24	evo_1286_AP.026	1.0	0.18879125040720188	606197	606197	3210938	1.0	0.17647058823529413	3	3	17
gsa	49	1052947	0.5023433176438629	0.1877486341640648	1781662	895006	4767044	0.4117647058823529	0.14583333333333334	17	7	48
gsa	45	1286_AP	1.0	0.18303543667700273	544535	544535	2975025	1.0	0.2777777777777778	5	5	18
